Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr1	82696338	82696338	+	0	NA	Intergenic	Intergenic	430256	NM_001330645	23266	Hs.24212	NM_012302	ENSG00000117114	ADGRL2	CIRL2|CL2|LEC1|LPHH1|LPHN2	adhesion G protein-coupled receptor L2	protein-coding
chr1	203645886	203645886	+	0	NA	"intron (NM_001684, intron 1 of 20)"	"intron (NM_001684, intron 1 of 20)"	49971	NM_001684	493	Hs.343522	NM_001684	ENSG00000058668	ATP2B4	ATP2B2|MXRA1|PMCA4|PMCA4b|PMCA4x	ATPase plasma membrane Ca2+ transporting 4	protein-coding
chr10	49275219	49275219	+	0	NA	Intergenic	Intergenic	-35561	NR_029396	414224	Hs.645213	NR_029396	ENSG00000265018	AGAP12P	CTGLF12P	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 12, pseudogene"	pseudo
chr1	168370764	168370764	+	0	NA	"non-coding (NR_037851, exon 4 of 4)"	"non-coding (NR_037851, exon 4 of 4)"	21130	NR_037851	100505918	Hs.568494	NR_037851		LOC100505918	-	uncharacterized LOC100505918	ncRNA
chr10	70994442	70994442	+	0	NA	"intron (NM_025130, intron 4 of 17)"	"intron (NM_025130, intron 4 of 17)"	-2196	NR_120648	101928994	Hs.562925	NR_120648	ENSG00000229261	LOC101928994	-	uncharacterized LOC101928994	ncRNA
chr1	153997960	153997960	+	0	NA	"intron (NM_207308, intron 30 of 39)"	"intron (NM_207308, intron 30 of 39)"	34721	NM_001030	6232	Hs.546291	NM_001030	ENSG00000177954	RPS27	MPS-1|MPS1|S27	ribosomal protein S27	protein-coding
chr1	2018135	2018135	+	0	NA	"intron (NM_001242874, intron 1 of 14)"	"intron (NM_001242874, intron 1 of 14)"	12710	NM_001242874	5590	Hs.496255	NM_002744	ENSG00000067606	PRKCZ	PKC-ZETA|PKC2	protein kinase C zeta	protein-coding
chr10	57222651	57222651	+	0	NA	Intergenic	Intergenic	-136099	NM_001190478	100463289	Hs.727204	NM_001190478	ENSG00000249860	MTRNR2L5	HN5	MT-RNR2-like 5	protein-coding
chr1	200425998	200425998	+	0	NA	Intergenic	Intergenic	-46812	NM_001281294	23528	Hs.59757	NM_012482	ENSG00000162702	ZNF281	ZBP-99|ZNP-99	zinc finger protein 281	protein-coding
chr1	25565206	25565206	+	0	NA	Intergenic	Intergenic	-6193	NM_015484	25949	Hs.20013	NM_015484	ENSG00000117614	SYF2	CBPIN|NTC31|P29|fSAP29	SYF2 pre-mRNA splicing factor	protein-coding
chr10	111163705	111163705	+	0	NA	Intergenic	Intergenic	519299	NM_001324136	7511	Hs.390623	NM_020383	ENSG00000108039	XPNPEP1	APP1|SAMP|XPNPEP|XPNPEPL|XPNPEPL1	X-prolyl aminopeptidase 1	protein-coding
chr1	119382920	119382920	+	0	NA	Intergenic	L2b|LINE|L2	147556	NM_001330677	6913	Hs.146196	NM_152380	ENSG00000092607	TBX15	TBX14	T-box 15	protein-coding
chr11	110570333	110570333	+	0	NA	"intron (NM_001258416, intron 1 of 15)"	L1PB4|LINE|L1	12440	NM_001258415	57569	Hs.6136	NM_020809	ENSG00000137727	ARHGAP20	RARHOGAP	Rho GTPase activating protein 20	protein-coding
chr10	112305132	112305132	+	0	NA	Intergenic	Intergenic	-22317	NM_005445	9126	Hs.24485	NM_005445	ENSG00000108055	SMC3	BAM|BMH|CDLS3|CSPG6|HCAP|SMC3L1	structural maintenance of chromosomes 3	protein-coding
chr1	204034086	204034086	+	0	NA	Intergenic	MER45A|DNA|hAT-Tip100	-8160	NM_005686	9580	Hs.201671	NM_005686	ENSG00000143842	SOX13	ICA12|Sox-13	SRY-box 13	protein-coding
chr1	39893649	39893649	+	0	NA	"exon (NM_012090, exon 57 of 93)"	"exon (NM_012090, exon 57 of 93)"	18473	NM_015038	643314	Hs.658760	NM_015038	ENSG00000127603	KIAA0754	-	KIAA0754	protein-coding
chr1	12132676	12132676	+	0	NA	"intron (NM_001281430, intron 1 of 13)"	"intron (NM_001281430, intron 1 of 13)"	9242	NM_001281430	943	Hs.1314	NM_001243	ENSG00000120949	TNFRSF8	CD30|D1S166E|Ki-1	TNF receptor superfamily member 8	protein-coding
chr10	34957340	34957340	+	0	NA	"intron (NM_001184785, intron 2 of 24)"	"intron (NM_001184785, intron 2 of 24)"	146913	NM_001184785	56288	Hs.131489	NM_019619	ENSG00000148498	PARD3	ASIP|Baz|PAR3|PAR3alpha|PARD-3|PARD3A|PPP1R118|SE2-5L16|SE2-5LT1|SE2-5T2	par-3 family cell polarity regulator	protein-coding
chr10	111007143	111007143	+	0	NA	Intergenic	MIRb|SINE|MIR	675861	NM_001324136	7511	Hs.390623	NM_020383	ENSG00000108039	XPNPEP1	APP1|SAMP|XPNPEP|XPNPEPL|XPNPEPL1	X-prolyl aminopeptidase 1	protein-coding
chr1	229384747	229384747	+	0	NA	Intergenic	Intergenic	-22062	NR_073545	5867	Hs.296169	NM_004578	ENSG00000168118	RAB4A	HRES-1|HRES-1/RAB4|HRES1|RAB4	"RAB4A, member RAS oncogene family"	protein-coding
chr10	112835521	112835521	+	0	NA	Intergenic	Intergenic	-1269	NM_000681	150	Hs.249159	NM_000681	ENSG00000150594	ADRA2A	ADRA2|ADRA2R|ADRAR|ALPHA2AAR|ZNF32	adrenoceptor alpha 2A	protein-coding
chr10	107470149	107470149	+	0	NA	"intron (NR_120625, intron 3 of 3)"	Tigger1|DNA|TcMar-Tigger	109942	NR_120625	101927549	Hs.556885	NR_120625		LOC101927549	-	uncharacterized LOC101927549	ncRNA
chr1	18073266	18073266	+	0	NA	Intergenic	MLT1B|LTR|ERVL-MaLR	-8542	NM_030812	81569	Hs.2149	NM_030812	ENSG00000117148	ACTL8	CT57	actin like 8	protein-coding
chr10	5544380	5544380	+	0	NA	Intergenic	Intergenic	-2847	NM_017422	51806	Hs.180142	NM_017422	ENSG00000178372	CALML5	CLSP	calmodulin like 5	protein-coding
chr1	11754598	11754598	+	0	NA	"intron (NM_198545, intron 1 of 6)"	MIR|SINE|MIR	2817	NM_198545	374946	Hs.632364	NM_198545	ENSG00000162490	DRAXIN	AGPA3119|C1orf187|UNQ3119|neucrin	dorsal inhibitory axon guidance protein	protein-coding
chr1	241210377	241210377	+	0	NA	"intron (NM_002924, intron 3 of 17)"	"intron (NM_002924, intron 3 of 17)"	-85195	NR_036069	100422856		NR_036069	ENSG00000265831	MIR3123	mir-3123	microRNA 3123	ncRNA
chr1	4221872	4221872	+	0	NA	Intergenic	Intergenic	221200	NR_040065	728716	Hs.668359	NR_040065		LINC01346	-	long intergenic non-protein coding RNA 1346	ncRNA
chr1	102578350	102578350	+	0	NA	Intergenic	L1MEb|LINE|L1	-115560	NR_110210	118427	Hs.484475	NM_058170	ENSG00000118733	OLFM3	NOE3|NOELIN3|OPTIMEDIN	olfactomedin 3	protein-coding
chr1	107931632	107931632	+	0	NA	"intron (NM_001330665, intron 3 of 6)"	"intron (NM_001330665, intron 3 of 6)"	240941	NM_001113226	22854	Hs.133046	NM_014917	ENSG00000162631	NTNG1	Lmnt1	netrin G1	protein-coding
chr1	17866863	17866863	+	0	NA	"intron (NM_018125, intron 1 of 28)"	"intron (NM_018125, intron 1 of 28)"	533	NR_137288	55160	Hs.443460	NM_018125	ENSG00000074964	ARHGEF10L	GrinchGEF	Rho guanine nucleotide exchange factor 10 like	protein-coding
chr1	45231516	45231516	+	0	NA	"intron (NM_001297657, intron 18 of 19)"	AluSx1|SINE|Alu	-9730	NM_001012	6202	Hs.512675	NM_001012	ENSG00000142937	RPS8	S8	ribosomal protein S8	protein-coding
chr1	114760852	114760852	+	0	NA	Intergenic	Intergenic	-64380	NM_001270805	148281	Hs.370963	NM_205848	ENSG00000134207	SYT6	sytVI	synaptotagmin 6	protein-coding
chr1	184112018	184112018	+	0	NA	Intergenic	Intergenic	91233	NM_001300764	116461	Hs.548197	NM_052965	ENSG00000198860	TSEN15	C1orf19|PCH2F|sen15	tRNA splicing endonuclease subunit 15	protein-coding
chr10	92293500	92293500	+	0	NA	"intron (NR_110657, intron 1 of 6)"	MIRb|SINE|MIR	7062	NR_110657	101926942	Hs.382666	NR_110657	ENSG00000236373	LOC101926942	-	uncharacterized LOC101926942	ncRNA
chr10	102181451	102181451	+	0	NA	Intergenic	AluJb|SINE|Alu	-41361	NM_003393	7479	Hs.421281	NM_003393	ENSG00000075290	WNT8B	-	Wnt family member 8B	protein-coding
chr1	104923459	104923459	+	0	NA	Intergenic	HERVH-int|LTR|ERV1	307814	NR_033990	100129138	Hs.514487	NR_033990	ENSG00000215869	LOC100129138	-	"THAP domain containing, apoptosis associated protein 3 pseudogene"	pseudo
chr1	162179255	162179255	+	0	NA	"intron (NM_014697, intron 2 of 9)"	MIR3|SINE|MIR	52358	NR_039798	100616386		NR_039798	ENSG00000266144	MIR4654	mir-4654	microRNA 4654	ncRNA
chr1	180948659	180948659	+	0	NA	"intron (NM_001286210, intron 5 of 5)"	L1MC1|LINE|L1	43598	NM_005819	10228	Hs.518417	NM_005819	ENSG00000135823	STX6	-	syntaxin 6	protein-coding
chr10	49342400	49342400	+	0	NA	Intergenic	L1M5|LINE|L1	40786	NM_001042512	143162	Hs.664786	NM_152428	ENSG00000170324	FRMPD2	PDZD5C|PDZK4|PDZK5C	FERM and PDZ domain containing 2	protein-coding
chr10	89951623	89951623	+	0	NA	Intergenic	Intergenic	328428	NM_000314	5728	Hs.500466	NM_000314	ENSG00000171862	PTEN	10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1	phosphatase and tensin homolog	protein-coding
chr10	128369439	128369439	+	0	NA	Intergenic	L1PA3|LINE|L1	-159429	NM_001004298	118611	Hs.587663	NM_001004298	ENSG00000154493	C10orf90	FATS|bA422P15.2	chromosome 10 open reading frame 90	protein-coding
chr1	14435485	14435485	+	0	NA	Intergenic	Intergenic	359609	NM_001007257	7799	Hs.371823	NM_012231	ENSG00000116731	PRDM2	HUMHOXY1|KMT8|KMT8A|MTB-ZF|RIZ|RIZ1|RIZ2	PR/SET domain 2	protein-coding
chr10	103243950	103243950	+	0	NA	"intron (NM_033637, intron 4 of 14)"	"intron (NM_033637, intron 4 of 14)"	104077	NM_001174084	27343	Hs.523230	NM_013274	ENSG00000166169	POLL	BETAN|POLKAPPA	DNA polymerase lambda	protein-coding
chr10	82985730	82985730	+	0	NA	Intergenic	MIRc|SINE|MIR	-649340	NM_001165972	10718	Hs.125119	NM_001010848	ENSG00000185737	NRG3	HRG3|pro-NRG3	neuregulin 3	protein-coding
chr10	39021763	39021763	+	0	NA	Intergenic	AluSz|SINE|Alu	32036	NR_045000	399746	Hs.742607	NR_045000		ACTR3BP5	FKSG74	ACTR3B pseudogene 5	pseudo
chr1	2073843	2073843	+	0	NA	"intron (NM_001033581, intron 2 of 14)"	"intron (NM_001033581, intron 2 of 14)"	37688	NM_001033582	5590	Hs.496255	NM_002744	ENSG00000067606	PRKCZ	PKC-ZETA|PKC2	protein kinase C zeta	protein-coding
